Transaction_ID,Customer_ID,Transaction_Number,Amount,Transaction_Type,Transaction_Hour,Location,Usual_Location,Device_Type,New_Device,Account_Age_Days,Previous_Transaction_Amount,Average_Previous_Amount,Amount_Deviation,Amount_Ratio,Transactions_Last_24H,Failed_Attempts,International_Transaction,Unusual_Location,Fraud_Probability,Fraud_Label,Risk_Score,Risk_Level
TXN100001,CUST001,1,6346.5,Transfer,17,Pune,Pune,Mac,0,743,0.0,9613.55,-3267.05,0.66,1,0,0,0,0.0027,0,0,Low
TXN100002,CUST001,2,7663.76,Purchase,16,Pune,Pune,Mac,0,743,6346.5,6346.5,1317.26,1.21,1,0,0,0,0.0039,0,0,Low
TXN100003,CUST001,3,10657.08,Transfer,10,Pune,Pune,Mac,0,743,7663.76,7005.13,3651.95,1.52,3,0,0,0,0.0038,0,0,Low
TXN100004,CUST001,4,14815.5,ATM Withdrawal,8,Pune,Pune,Mac,0,743,10657.08,8222.45,6593.06,1.8,2,0,0,0,0.0035,0,0,Low
TXN100005,CUST001,5,7626.3,Online Payment,21,Pune,Pune,Mac,0,743,14815.5,9870.71,-2244.41,0.77,2,0,0,0,0.014,0,1,Low
TXN100006,CUST001,6,10075.01,Online Payment,11,Pune,Pune,Mac,0,743,7626.3,9421.83,653.18,1.07,4,0,0,0,0.0094,0,1,Low
TXN100007,CUST001,7,6342.9,Transfer,11,Pune,Pune,Mac,0,743,10075.01,9530.69,-3187.8,0.67,3,0,0,0,0.0042,0,0,Low
TXN100008,CUST001,8,5052.96,Online Payment,7,Pune,Pune,Mac,0,743,6342.9,9075.29,-4022.33,0.56,2,0,0,0,0.0075,0,1,Low
TXN100009,CUST001,9,7008.15,Purchase,21,Pune,Pune,Mac,0,743,5052.96,8572.5,-1564.35,0.82,3,0,0,0,0.0038,0,0,Low
TXN100010,CUST001,10,5345.59,Bill Payment,15,Pune,Pune,Mac,0,743,7008.15,8398.68,-3053.1,0.64,3,1,0,0,0.0061,0,1,Low
TXN100011,CUST001,11,8900.07,Online Payment,22,Hassan,Pune,Mac,0,743,5345.59,8093.37,806.69,1.1,3,0,0,1,0.0572,0,6,Low
TXN100012,CUST001,12,8554.75,Bill Payment,21,Pune,Pune,Mac,0,743,8900.07,8348.73,206.02,1.02,1,1,0,0,0.0046,0,0,Low
TXN100013,CUST001,13,23999.6,Purchase,22,Pune,Pune,Mac,0,743,8554.75,8437.83,15561.77,2.84,1,0,0,0,0.0105,0,1,Low
TXN100014,CUST001,14,9806.88,Bill Payment,9,Pune,Pune,Mac,0,743,23999.6,9772.08,34.8,1.0,2,0,0,0,0.0115,0,1,Low
TXN100015,CUST001,15,4750.84,ATM Withdrawal,10,Chennai,Pune,Mac,0,743,9806.88,9271.22,-4520.38,0.51,1,2,0,1,0.0372,0,4,Low
TXN100016,CUST001,16,5985.08,Purchase,13,Pune,Pune,Mac,0,743,4750.84,8983.67,-2998.6,0.67,2,0,0,0,0.0335,0,3,Low
TXN100017,CUST001,17,3704.67,Online Payment,12,Pune,Pune,Mac,0,743,5985.08,8574.68,-4870.01,0.43,1,0,0,0,0.0516,0,5,Low
TXN100018,CUST001,18,8196.8,Purchase,16,Pune,Pune,Mac,0,743,3704.67,8310.86,-114.06,0.99,2,0,0,0,0.007,0,1,Low
TXN100019,CUST001,19,10635.56,ATM Withdrawal,8,Pune,Pune,Mac,0,743,8196.8,8625.24,2010.32,1.23,4,0,0,0,0.0311,0,3,Low
TXN100020,CUST001,20,4665.09,Transfer,13,Pune,Pune,Mac,0,743,10635.56,8987.98,-4322.9,0.52,1,1,0,0,0.0148,0,1,Low
TXN100021,CUST001,21,7950.72,ATM Withdrawal,22,Pune,Pune,Mac,0,743,4665.09,8919.93,-969.21,0.89,1,0,0,0,0.0015,0,0,Low
TXN100022,CUST001,22,11898.01,Transfer,16,Pune,Pune,Mac,0,743,7950.72,8825.0,3073.01,1.35,1,0,0,0,0.0078,0,1,Low
TXN100023,CUST001,23,12788.93,Purchase,11,Hassan,Pune,Mac,0,743,11898.01,9159.32,3629.61,1.4,5,0,0,1,0.0697,0,7,Low
TXN100024,CUST001,24,15458.78,Bill Payment,8,Pune,Pune,Mac,0,743,12788.93,8038.26,7420.53,1.92,3,0,0,0,0.0052,0,1,Low
TXN100025,CUST001,25,6291.31,ATM Withdrawal,10,Pune,Pune,Mac,0,743,15458.78,8603.45,-2312.13,0.73,3,0,0,0,0.023,0,2,Low
TXN100026,CUST001,26,12214.28,Purchase,21,Pune,Pune,Mac,0,743,6291.31,8757.5,3456.78,1.39,3,1,0,0,0.0097,0,1,Low
TXN100027,CUST001,27,4831.35,Online Payment,11,Pune,Pune,Mac,0,743,12214.28,9380.42,-4549.07,0.52,5,0,0,0,0.0281,0,3,Low
TXN100028,CUST001,28,27274.15,Purchase,8,Pune,Pune,Mac,0,743,4831.35,9493.08,17781.06,2.87,1,0,0,0,0.0081,0,1,Low
TXN100029,CUST001,29,3837.71,Bill Payment,13,Pune,Pune,iPhone,1,743,27274.15,11400.82,-7563.11,0.34,4,3,0,0,0.0824,0,8,Low
TXN100030,CUST001,30,10925.27,Purchase,21,Pune,Pune,Mac,0,743,3837.71,10721.03,204.24,1.02,3,0,1,0,0.005,0,0,Low
TXN100031,CUST001,31,7988.47,Bill Payment,10,Pune,Pune,Mac,0,743,10925.27,11347.05,-3358.58,0.7,3,0,0,0,0.0077,0,1,Low
TXN100032,CUST001,32,5397.24,Bill Payment,16,Pune,Pune,Mac,0,743,7988.47,11350.83,-5953.59,0.48,4,0,1,0,0.0165,0,2,Low
TXN100033,CUST002,1,3535.67,ATM Withdrawal,22,Mangalore,Mangalore,iPhone,0,668,0.0,2855.57,680.1,1.24,2,0,0,0,0.0066,0,1,Low
