transaction_id,transaction_datetime,transaction_date,transaction_time,transaction_hour,day_of_week,is_weekend,is_night_transaction,customer_id,customer_account_age_days,customer_usual_location,customer_usual_state,customer_risk_segment,merchant_id,merchant_name,merchant_category,merchant_subcategory,merchant_city,merchant_area,merchant_state,merchant_pincode,merchant_latitude,merchant_longitude,merchant_business_age_years,merchant_average_ticket,merchant_operating_hours,merchant_payment_channels,merchant_historical_fraud_pattern,merchant_historical_fraud_rate,merchant_historical_fraud_count,amount,currency,transaction_type,payment_channel,transaction_channel,card_present,is_international,current_location,location_distance_km,is_location_changed,is_new_device,is_trusted_device,device_id,device_type,is_new_beneficiary,beneficiary_id,beneficiary_name,beneficiary_prior_transaction_count,customer_tx_count_last_1h,customer_tx_count_last_24h,customer_tx_count_last_7d,failed_login_attempts_last_24h,failed_transaction_attempts_last_24h,recent_password_reset_flag,fraud_scenario_type,fraud_lifecycle_stage,synthetic_fraud_scenario_description,is_fraud
TXN-CUST_MOHANA_002-10001,2026-06-26 12:45:38,2026-06-26,12:45:38,12,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M006,MedicoCare Pharmacy,Pharmacy,Medicines & Surgical Supplies,Madurai,KK Nagar,Tamil Nadu,625020,9.9252,78.1498,10,1450.0,24_HOURS,"POS,UPI,CARD,ONLINE",Nighttime micro card testing,0.015,37,5223.71,INR,PURCHASE,ONLINE,MOBILE_APP,1,0,Coimbatore,13.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,4,0,3,19,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10002,2026-06-26 14:12:52,2026-06-26,14:12:52,14,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M018,PageTurn Book House,Bookstore,"Academic, Fiction & Stationery",Trichy,Thillai Nagar,Tamil Nadu,620018,10.8282,78.6854,16,850.0,09:00-21:30,"POS,UPI,CARD,ONLINE",Low-value card testing bots,0.008,20,2508.84,INR,P2P_TRANSFER,ONLINE,WEB_PORTAL,0,0,Mumbai,518.0,1,1,0,DEV-LAPTOP-CHROME-211,web_browser,1,BEN-NEW-884,Global Flight Booking,0,3,8,35,1,0,0,Geographic Anomaly / High Ticket Spike,Review Required,Sudden location velocity jump with new merchant,1
TXN-CUST_MOHANA_002-10003,2026-06-26 15:40:22,2026-06-26,15:40:22,15,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M020,GameGrid Arena,Gaming,"Esports, Consoles & Virtual Credits",Bengaluru,Koramangala,Karnataka,560095,12.9352,77.6245,4,3400.0,10:00-01:00,"ONLINE,UPI,CARD,WALLET",Virtual item laundering & bot-driven micro transactions,0.055,137,5544.98,INR,PURCHASE,WALLET,MOBILE_APP,0,0,Coimbatore,11.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,6,1,2,12,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10004,2026-06-26 17:08:53,2026-06-26,17:08:53,17,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M020,GameGrid Arena,Gaming,"Esports, Consoles & Virtual Credits",Bengaluru,Koramangala,Karnataka,560095,12.9352,77.6245,4,3400.0,10:00-01:00,"ONLINE,UPI,CARD,WALLET",Virtual item laundering & bot-driven micro transactions,0.055,137,10158.43,INR,PURCHASE,WALLET,MOBILE_APP,0,0,Coimbatore,6.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,13,0,4,22,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10005,2026-06-26 18:33:40,2026-06-26,18:33:40,18,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M009,RapidFuel Station,Fuel Station,"Petrol, Diesel & EV Fast Charge",Salem,Fairlands,Tamil Nadu,636016,11.6643,78.146,9,3100.0,24_HOURS,"POS,FLEET_CARD,UPI",Automated fleet card skimming,0.024,60,8214.21,INR,PURCHASE,FLEET_CARD,MOBILE_APP,1,0,Coimbatore,14.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,5,0,3,19,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10006,2026-06-26 20:01:25,2026-06-26,20:01:25,20,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M027,BrickHarbor Realty,Real Estate / Property Services,Rental Escrow & Facility Management,Chennai,Porur,Tamil Nadu,600116,13.035,80.16,11,65000.0,09:00-19:00,"TRANSFER,NETBANKING,CARD",Security deposit phishing / escrow hijacking,0.039,97,11001.18,INR,PURCHASE,NETBANKING,MOBILE_APP,0,0,Coimbatore,8.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,15,0,4,18,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10007,2026-06-26 21:29:24,2026-06-26,21:29:24,21,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M013,CartNest Online,E-commerce,Multi-category Marketplace,Chennai,Guindy,Tamil Nadu,600032,13.0067,80.2026,5,6200.0,24_HOURS,"ONLINE,UPI,CARD,NETBANKING",Account takeover + triangulation shipping fraud,0.045,112,3964.14,INR,PURCHASE,CARD,MOBILE_APP,0,0,Coimbatore,7.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,10,0,2,10,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10008,2026-06-26 22:57:42,2026-06-26,22:57:42,22,4,0,0,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M007,SpiceRoute Kitchen,Restaurant,Fine Dining & Chettinad,Chennai,Adyar,Tamil Nadu,600020,13.0012,80.2565,7,2200.0,11:30-23:30,"POS,UPI,CARD",Cloned card POS terminal replay,0.018,45,5527.81,INR,PURCHASE,UPI,MOBILE_APP,1,0,Coimbatore,12.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,3,0,3,20,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10009,2026-06-27 00:25:51,2026-06-27,00:25:51,0,5,1,1,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M011,SkyTrail Travels,Travel Agency,Flight & International Tour Packages,Coimbatore,Gandhipuram,Tamil Nadu,641012,11.0183,76.9664,11,44000.0,09:00-20:00,"ONLINE,TRANSFER,CARD",Mule-account ticket arbitrage & fast cancellation fraud,0.052,130,9092.3,INR,PURCHASE,CARD,MOBILE_APP,0,0,Coimbatore,12.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,12,1,2,17,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
TXN-CUST_MOHANA_002-10010,2026-06-27 01:54:23,2026-06-27,01:54:23,1,5,1,1,CUST_MOHANA_002,180,Coimbatore,Tamil Nadu,Medium Risk / 12% Fraud Rate,M004,Aurelia Gold House,Jewellery,Gold & Diamond Jewellery,Coimbatore,RS Puram,Tamil Nadu,641002,11.0089,76.9514,14,78000.0,10:00-20:30,"POS,CARD,TRANSFER",Account takeover / card-not-present luxury surge,0.065,162,4159.15,INR,PURCHASE,TRANSFER,MOBILE_APP,1,0,Coimbatore,3.0,0,0,1,DEV-MOHANA-SAMSUNG-S23,mobile_android,0,BEN-CUST_MOHANA_002-TRUSTED,Trusted Household Vendor,14,0,4,25,0,0,0,None,Resolved Genuine,Standard Habitual Purchase,0
